id_usuario,idade,faixa_etaria,sexo,indicador_inadimplencia,quantidade_emprestimos,emprestimos_imobiliarios,emprestimos_outros,tipos_emprestimos,ultimo_salario,atraso_superior_90_dias,linhas_de_credito_nao_garantidas_por_ativos_pessoais,indice_endividamento,numero_dependentes,idade_risco,emprestimo_risco,salario_risco,atraso_risco,endividamento_risco,credito_risco,genero_binario,idade_binario,emprestimo_binario,salario_binario,atraso_binario,endividamento_binario,credito_binario,dependentes_quartil_binario,total,total_binario
865,21,21-30,Masculino,0,0,0,0,Sem registro,6622,98,1,0,0,0,"0,14","0,01","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
9884,21,21-30,Feminino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
28122,21,21-30,Masculino,0,0,0,0,Sem registro,6675,0,1,8,0,0,"0,14","0,02",0,"0,03","0,07",0,0,1,0,0,0,1,0,2,0
14999,21,21-30,Feminino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
18876,21,21-30,Feminino,0,0,0,0,Sem registro,6675,0,1,307,0,0,"0,14","0,02",0,0,"0,07",1,0,1,0,0,0,1,1,3,0
24483,21,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
3108,21,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
24559,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
35630,21,21-30,Feminino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
28075,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,12,0,0,"0,03","0,02",0,"0,04","0,07",0,0,0,0,0,0,1,1,2,0
2932,21,21-30,Masculino,0,1,0,1,Outros,6675,0,0,9,0,0,"0,03","0,02",0,"0,04",0,0,0,0,0,0,0,0,0,0,0
3985,21,21-30,Masculino,0,1,0,1,Outros,3300,0,0,0,0,0,"0,03","0,03",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
8870,21,21-30,Feminino,0,1,0,1,Outros,6675,0,1,0,0,0,"0,03","0,02",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
35429,21,21-30,Masculino,0,1,0,1,Outros,2250,0,1,0,2,0,"0,03","0,05",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
15684,21,21-30,Feminino,0,1,0,1,Outros,6675,0,0,0,0,0,"0,03","0,02",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
15009,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,1,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,1,1,0
9754,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
18209,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
12520,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
2303,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,672,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
16848,21,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
27733,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
4732,21,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
17258,21,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
22623,21,21-30,Masculino,0,1,0,1,Outros,2420,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
33474,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,112,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
13372,21,21-30,Masculino,0,1,0,1,Outros,2000,0,0,0,0,0,"0,03","0,03",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
18682,21,21-30,Masculino,0,1,0,1,Outros,6675,0,1,34,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
26170,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
22147,21,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,1,2,0
20846,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
5381,21,21-30,Feminino,0,2,0,2,Outros,9686,0,0,0,0,0,"0,04",0,0,"0,02",0,1,0,1,0,0,0,0,1,2,0
24324,21,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
16574,21,21-30,Masculino,0,2,0,2,Outros,6622,0,1,0,0,0,"0,04","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,1,3,0
280,21,21-30,Masculino,0,2,0,2,Outros,4000,0,1,0,0,0,"0,04","0,02",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
4012,21,21-30,Masculino,0,2,0,2,Outros,6622,0,0,2,0,0,"0,04","0,01",0,"0,03",0,0,0,1,0,0,0,0,0,1,0
10438,21,21-30,Feminino,0,3,0,3,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
2966,21,21-30,Feminino,0,3,0,3,Outros,6622,0,1,1,0,0,"0,03","0,01",0,"0,03","0,07",1,0,0,0,0,0,1,0,1,0
14767,22,21-30,Masculino,0,0,0,0,Sem registro,6675,0,1,0,0,0,"0,14","0,02",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
20824,22,21-30,Feminino,0,0,0,0,Sem registro,4500,98,1,0,0,0,"0,14","0,03","0,81","0,02","0,07",1,0,1,0,1,0,1,0,3,0
26354,22,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
35568,22,21-30,Masculino,0,0,0,0,Sem registro,1600,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
7457,22,21-30,Masculino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
17431,22,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
12647,22,21-30,Masculino,0,0,0,0,Sem registro,6675,0,1,97,0,0,"0,14","0,02",0,0,"0,07",0,0,1,0,0,0,1,0,2,0
3683,22,21-30,Masculino,0,0,0,0,Sem registro,6675,0,1,20,0,0,"0,14","0,02",0,0,"0,07",0,0,1,0,0,0,1,0,2,0
12798,22,21-30,Feminino,0,0,0,0,Sem registro,6622,0,1,0,0,0,"0,14","0,01",0,"0,02","0,07",1,0,1,0,0,0,1,1,3,0
23057,22,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
31904,22,21-30,Feminino,0,0,0,0,Sem registro,6622,98,1,0,0,0,"0,14","0,01","0,81","0,02","0,07",1,0,1,0,1,0,1,0,3,0
12771,22,21-30,Masculino,0,0,0,0,Sem registro,6675,98,1,0,0,0,"0,14","0,02","0,81","0,02","0,07",0,0,1,0,1,0,1,0,3,0
32473,22,21-30,Feminino,0,0,0,0,Sem registro,2133,0,1,0,0,0,"0,14",0,0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
30541,22,21-30,Feminino,0,0,0,0,Sem registro,2500,0,1,0,0,0,"0,14","0,04",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
13819,22,21-30,Feminino,0,1,0,1,Outros,6675,0,1,62,0,0,"0,03","0,02",0,0,"0,07",1,0,0,0,0,0,1,0,1,0
23671,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
35583,22,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
3319,22,21-30,Feminino,0,1,0,1,Outros,6675,0,0,1,0,0,"0,03","0,02",0,"0,03",0,1,0,0,0,0,0,0,0,0,0
6011,22,21-30,Masculino,0,1,0,1,Outros,1900,0,1,0,0,0,"0,03","0,07",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
32951,22,21-30,Masculino,0,1,0,1,Outros,6675,0,0,1,0,0,"0,03","0,02",0,"0,03",0,0,0,0,0,0,0,0,1,1,0
24115,22,21-30,Masculino,0,1,0,1,Outros,3600,0,1,0,0,0,"0,03","0,04",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
22193,22,21-30,Feminino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
4197,22,21-30,Masculino,0,1,0,1,Outros,6675,0,0,2,0,0,"0,03","0,02",0,"0,03",0,0,0,0,0,0,0,0,1,1,0
6546,22,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
19053,22,21-30,Feminino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
34674,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
33270,22,21-30,Feminino,0,1,0,1,Outros,6675,0,1,0,0,0,"0,03","0,02",0,"0,02","0,07",1,0,0,0,0,0,1,1,2,0
14112,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
15572,22,21-30,Masculino,0,1,0,1,Outros,1900,0,1,0,0,0,"0,03","0,07",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
7252,22,21-30,Masculino,0,1,0,1,Outros,1760,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
2822,22,21-30,Masculino,0,1,0,1,Outros,3800,0,1,0,0,0,"0,03","0,04",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
12603,22,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
34849,22,21-30,Masculino,0,1,0,1,Outros,1700,1,1,0,0,0,"0,03",0,"0,18","0,02","0,07",0,0,0,0,0,0,1,0,1,0
3904,22,21-30,Feminino,0,1,0,1,Outros,6622,0,0,1,0,0,"0,03","0,01",0,"0,03",0,1,0,0,0,0,0,0,0,0,0
17182,22,21-30,Masculino,0,1,0,1,Outros,2000,0,1,0,0,0,"0,03","0,03",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
18697,22,21-30,Masculino,0,1,0,1,Outros,1600,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
20779,22,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
30918,22,21-30,Feminino,0,1,0,1,Outros,2083,0,0,0,0,0,"0,03",0,0,"0,02",0,1,0,0,0,0,0,0,0,0,0
30240,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
21325,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
7825,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
23577,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
20557,22,21-30,Masculino,0,1,0,1,Outros,6622,0,0,22,0,0,"0,03","0,01",0,"0,05",0,0,0,0,0,0,0,0,0,0,0
32341,22,21-30,Feminino,0,1,0,1,Outros,6622,0,1,1,0,0,"0,03","0,01",0,"0,03","0,07",1,0,0,0,0,0,1,0,1,0
6923,22,21-30,Masculino,0,1,0,1,Outros,7370,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
25469,22,21-30,Masculino,0,1,0,1,Outros,6675,0,1,346,0,0,"0,03","0,02",0,0,"0,07",0,0,0,0,0,0,1,0,1,0
7779,22,21-30,Feminino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",1,0,0,0,0,0,1,0,1,0
21887,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
26111,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
34458,22,21-30,Feminino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,1,0,0,0,0,0,0,0,0,0
6309,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,8,0,0,"0,03","0,01",0,"0,03","0,07",0,0,0,0,0,0,1,0,1,0
19143,22,21-30,Masculino,0,1,0,1,Outros,6622,0,0,0,0,0,"0,03","0,01",0,"0,02",0,0,0,0,0,0,0,0,0,0,0
23737,22,21-30,Masculino,0,1,0,1,Outros,6622,0,1,0,0,0,"0,03","0,01",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
9696,22,21-30,Feminino,0,1,0,1,Outros,6622,0,1,36,0,0,"0,03","0,01",0,"0,06","0,07",1,0,0,0,0,0,1,0,1,0
35417,22,21-30,Masculino,0,2,0,2,Outros,6675,0,1,212,0,0,"0,04","0,02",0,0,"0,07",0,0,1,0,0,0,1,0,2,0
2501,22,21-30,Feminino,0,2,0,2,Outros,1600,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
35688,22,21-30,Masculino,0,2,0,2,Outros,2000,0,0,0,0,0,"0,04","0,03",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
24286,22,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,1,2,0
31374,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
2240,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
25132,22,21-30,Masculino,0,2,0,2,Outros,6622,0,1,5,0,0,"0,04","0,01",0,0,"0,07",0,0,1,0,0,0,1,0,2,0
21860,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,1,2,0
17714,22,21-30,Masculino,0,2,0,2,Outros,2745,0,0,0,0,0,"0,04",0,0,"0,02",0,0,0,1,0,0,0,0,0,1,0
21372,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,1,2,0
20487,22,21-30,Masculino,0,2,0,2,Outros,6675,0,1,50,0,0,"0,04","0,02",0,0,"0,07",0,0,1,0,0,0,1,0,2,0
31952,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,1,2,0
23035,22,21-30,Masculino,0,2,0,2,Outros,6622,0,1,0,0,0,"0,04","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,1,3,0
771,22,21-30,Masculino,0,2,0,2,Outros,6622,0,1,0,0,0,"0,04","0,01",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
12666,22,21-30,Feminino,0,2,0,2,Outros,6675,0,1,37,0,0,"0,04","0,02",0,0,"0,07",1,0,1,0,0,0,1,0,2,0
33171,22,21-30,Masculino,0,2,0,2,Outros,3000,0,1,0,0,0,"0,04","0,04",0,"0,02","0,07",0,0,1,0,0,0,1,0,2,0
22960,22,21-30,Masculino,0,2,0,2,Outros,1920,0,0,0,0,0,"0,04",0,0,"0,02",0,0,0,1,0,0,0,0,0,1,0
3045,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
24166,22,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
1792,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
11173,22,21-30,Feminino,0,2,0,2,Outros,4500,0,1,0,0,0,"0,04","0,03",0,"0,02","0,07",1,0,1,0,0,0,1,0,2,0
6865,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,1,0,0,"0,04","0,01",0,"0,03",0,0,0,1,0,0,0,0,0,1,0
33153,22,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,1,2,0
33917,22,21-30,Masculino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,0,0,1,0,0,0,0,0,1,0
35846,22,21-30,Feminino,0,2,0,2,Outros,6622,0,0,0,0,0,"0,04","0,01",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
13479,22,21-30,Feminino,0,2,0,2,Outros,1500,0,0,0,0,0,"0,04","0,02",0,"0,02",0,1,0,1,0,0,0,0,0,1,0
13011,22,21-30,Masculino,0,3,0,3,Outros,2280,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
17528,22,21-30,Masculino,0,3,0,3,Outros,2150,0,1,0,0,0,"0,03",0,0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
22115,22,21-30,Masculino,0,3,0,3,Outros,1500,0,1,0,0,0,"0,03","0,02",0,"0,02","0,07",0,0,0,0,0,0,1,0,1,0
13965,22,21-30,Masculino,0,3,0,3,Outros,2000,0,1,0,0,0,"0,03","0,03",0,"0,02","0,07",0,0,0,0,0,0,1,1,2,0
7700,22,21-30,Masculino,0,3,0,3,Outros,1700,0,0,0,0,0,"0,03",0,0,"0,02",0,0,0,0,0,0,0,0,0,0,0
7628,22,21-30,Masculino,0,3,0,3,Outros,6622,0,1,28,0,0,"0,03","0,01",0,0,"0,07",0,0,0,0,0,0,1,1,2,0
